OBJECTID,ZONING_ABBREVIATION,ZONING,STATUS,TOWN,PLAN_NAME,MyPlan_GZT,Shape__Area,Shape__Length
128,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,3629.58190917969,407.351073941159
129,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,3486.01879882813,325.950945812514
130,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,3380.69354248047,233.34363314689
131,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,3317.92572021484,234.069862178083
132,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,3291.78567504883,261.815311595024
133,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,3271.8720703125,234.19612315648
134,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,3241.80596923828,227.188144241951
135,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,3122.69146728516,485.734417947951
136,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,3085.71240234375,264.999876219866
137,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,3075.27975463867,307.192525139046
138,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,3058.39331054688,242.553696446426
139,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,3048.60321044922,240.349669052788
140,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,3004.41412353516,274.726893884387
141,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,2969.14273071289,216.477034912736
142,C2,Commercial / Mixed Use,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,C6,2937.15780639648,262.612999162394
143,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,2917.73199462891,266.00963222683
144,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,2888.18664550781,316.313507970794
145,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,2774.53225708008,384.696694123028
146,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,2691.2600402832,286.284503737708
147,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,2556.25207519531,221.287503783427
148,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,2505.31896972656,194.649622594444
149,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,2445.48403930664,225.37821492981
150,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,2418.40808105469,261.748488094777
151,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,2413.17694091797,376.805771658659
152,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,2407.06869506836,214.10833161214
